Average,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,Type
Filament Dendrite Length (sum),305.099,305.099,305.099,0,305.099,305.099,305.099,305.099,1,µm,Filament,,,,10,
Filament Dendrite Length (sum),1.92106,156.829,34.9978,49.2451,10.8668,3.75,45.5938,279.983,8,µm,Filament,,,,11,
Filament Dendrite Length (sum),294.321,294.321,294.321,0,294.321,294.321,294.321,294.321,1,µm,Filament,,,,12,
Filament Dendrite Length (sum),264.693,264.693,264.693,0,264.693,264.693,264.693,264.693,1,µm,Filament,,,,13,
Filament Dendrite Length (sum),205.141,205.141,205.141,0,205.141,205.141,205.141,205.141,1,µm,Filament,,,,14,
Filament Dendrite Length (sum),0,197.74,39.8124,69.0407,1.76463,0.875,38.75,278.687,7,µm,Filament,,,,15,
Filament Dendrite Volume (sum),0,12.3145,1.53498,2.94818,0.480055,0.00390625,1.69141,24.5597,16,µm^3,Filament,,,,1,
Filament Dendrite Volume (sum),0,30.6389,4.43307,9.0834,0,0.0078125,2.42969,48.7638,11,µm^3,Filament,,,,2,
Filament Dendrite Volume (sum),0,12.0187,4.27423,4.22619,2.84034,0.888672,6.57812,34.1939,8,µm^3,Filament,,,,3,
Filament Dendrite Volume (sum),1.4935,9.01672,5.28661,3.07195,6.72767,1.7832,7.41211,26.4331,5,µm^3,Filament,,,,4,
Filament Dendrite Volume (sum),0,12.7863,5.87922,4.95742,6.37061,0.691406,9.55078,29.3961,5,µm^3,Filament,,,,5,
Filament Dendrite Volume (sum),0.397224,20.3283,5.68145,7.68802,0.686946,0.445313,6.53906,28.4072,5,µm^3,Filament,,,,6,
Filament Dendrite Volume (sum),0,15.322,4.65792,5.26165,2.57388,0.96875,5.92578,27.9475,6,µm^3,Filament,,,,7,
Filament Dendrite Volume (sum),0,16.066,5.61244,5.82625,3.47388,1.03906,7.47656,28.0622,5,µm^3,Filament,,,,8,
Filament Dendrite Volume (sum),3.41916,17.7456,10.5824,7.16324,10.5824,7,14.1641,21.1648,2,µm^3,Filament,,,,9,
Filament Dendrite Volume (sum),31.7519,31.7519,31.7519,0,31.7519,31.7519,31.7519,31.7519,1,µm^3,Filament,,,,10,
Filament Dendrite Volume (sum),0.201932,15.9465,3.61147,5.01025,1.14226,0.398438,4.79297,28.8918,8,µm^3,Filament,,,,11,
Filament Dendrite Volume (sum),30.624,30.624,30.624,0,30.624,30.624,30.624,30.624,1,µm^3,Filament,,,,12,
Filament Dendrite Volume (sum),27.3765,27.3765,27.3765,0,27.3765,27.3765,27.3765,27.3765,1,µm^3,Filament,,,,13,
Filament Dendrite Volume (sum),20.4468,20.4468,20.4468,0,20.4468,20.4468,20.4468,20.4468,1,µm^3,Filament,,,,14,
Filament Dendrite Volume (sum),0,20.7854,4.18488,7.2572,0.185488,0.09375,4.07031,29.2941,7,µm^3,Filament,,,,15,
Filament Displacement Delta Length,0,0,0,0,0,0,0,0,5,µm,Filament,,,,1,
Filament Displacement Delta Length,0.0671585,12.6359,3.96244,5.09021,1.57334,0.482422,5.05469,15.8498,4,µm,Filament,,,,2,
Filament Displacement Delta Length,0,12.7923,3.41099,4.27148,2.05671,1.33984,2.36133,20.466,6,µm,Filament,,,,3,
Filament Displacement Delta Length,0,2.33486,1.50501,1.06607,2.18017,1.09082,2.25781,4.51503,3,µm,Filament,,,,4,
Filament Displacement Delta Length,0,1.32377,0.652942,0.653065,0.643998,0.000488281,1.29663,2.61177,4,µm,Filament,,,,5,
Filament Displacement Delta Length,0,2.13147,1.15263,0.720784,1.32902,0.776367,1.52441,5.76313,5,µm,Filament,,,,6,
Filament Displacement Delta Length,0,4.06669,1.45333,1.31525,1.17762,0.587891,1.72363,8.71996,6,µm,Filament,,,,7,
Filament Displacement Delta Length,0.449382,3.63017,2.43902,1.15837,2.97162,1.86035,3.28418,12.1951,5,µm,Filament,,,,8,
Filament Displacement Delta Length,0.510546,0.510546,0.510546,0,0.510546,0.510546,0.510546,0.510546,1,µm,Filament,,,,9,
