Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
17.923280,8986.667000,9036.667000,8676.667000,8213.333000,9103.333000,9257.333000,7808.000000,8568.000000,9141.000000,3919.667000,3839.667000,4537.667000
18.186860,9099.333000,9046.333000,8494.333000,8259.333000,8995.333000,9187.333000,7861.333000,8565.333000,9144.333000,4082.000000,3919.000000,4631.000000
18.450450,9043.667000,9058.667000,8766.667000,7868.000000,9102.000000,9263.000000,7860.667000,8673.667000,9187.667000,4136.000000,3797.000000,4603.000000
18.714000,8995.000000,8962.000000,8633.000000,7783.667000,9080.667000,9084.667000,7585.000000,8560.000000,9053.000000,4150.667000,3915.667000,4706.667000
18.977580,8851.000000,8866.000000,8487.000000,7859.000000,8927.000000,9100.000000,7452.000000,8311.000000,8990.000000,3883.667000,3783.667000,4488.667000
19.241170,8920.333000,8921.333000,8496.333000,8233.333000,9008.333000,9158.333000,7613.333000,8401.333000,8990.333000,4231.667000,3798.667000,4613.667000
19.504750,9046.333000,9029.333000,8913.333000,8552.000000,9174.000000,9229.000000,7653.000000,8565.000000,9172.000000,4298.667000,3854.667000,4810.667000
19.768330,9170.667000,9155.667000,8740.667000,8216.000000,9290.000000,9441.000000,7595.333000,8649.333000,9309.333000,4291.000000,3860.000000,4844.000000
20.031920,9152.667000,9153.667000,8938.667000,8717.333000,9315.333000,9514.333000,7683.000000,8618.000000,9343.000000,4411.667000,3970.667000,4821.667000
20.295470,9100.667000,9160.667000,8964.667000,8801.333000,9338.333000,9548.333000,7861.667000,8742.667000,9379.667000,4342.667000,3917.667000,5014.667000
20.559060,9315.333000,9180.333000,8776.333000,8362.333000,9353.333000,9546.333000,7796.333000,8707.333000,9425.333000,4290.667000,3748.667000,5043.667000
20.822640,9166.667000,9200.667000,8810.667000,8320.667000,9243.667000,9636.667000,7654.333000,8764.333000,9430.333000,4352.667000,3701.667000,5014.667000
21.086220,9008.667000,8921.667000,8475.667000,8282.667000,9179.667000,9471.667000,7585.667000,8521.667000,9197.667000,4313.000000,3639.000000,4912.000000
21.349810,9264.000000,9050.000000,8622.000000,8234.000000,9256.000000,9465.000000,7540.333000,8601.333000,9275.333000,4358.667000,3706.667000,5082.667000
21.613390,9215.333000,9187.333000,9049.333000,8551.333000,9343.333000,9739.333000,7673.000000,8698.000000,9278.000000,4480.667000,3710.667000,5087.667000
