frame,phenotype,cell,sample,intesnsity
6,NOS11,cPRC,81,1.023135169
6,NOS11,cPRC,82,1.120949201
6,NOS11,INNOS,83,0.940642293
6,NOS11,INNOS,84,0.821546838
6,NOS11,INNOS,85,0.782052392
6,NOS11,INNOS,86,0.819622035
6,NOS11,INNOS,87,0.692126056
6,NOS11,INNOS,88,0.97734541
6,NOS11,INNOS,89,0.875592551
6,NOS11,INNOS,90,0.91190921
6,NOS11,INNOS,91,0.981627029
6,NOS11,INNOS,92,1.055398666
6,NOS11,INNOS,93,0.919143558
6,NOS11,INNOS,94,1.037642099
6,NOS11,INNOS,95,1.0520151
6,NOS11,INNOS,96,0.881464606
6,NOS11,INNOS,97,0.952658561
6,NOS11,INNOS,98,0.994572615
6,NOS11,INNOS,99,0.968136791
6,NOS11,INNOS,100,1.063406231
6,NOS11,INNOS,101,1.058740469
6,NOS11,INNOS,102,0.989862022
6,NOS11,INNOS,103,1.27358896
7,WT,cPRC,2,1.003604669
7,WT,cPRC,3,0.94236337
7,WT,cPRC,4,1.039262982
7,WT,cPRC,5,0.867795334
7,WT,cPRC,6,0.945873589
7,WT,cPRC,7,0.940335637
7,WT,cPRC,8,0.993311012
7,WT,cPRC,9,0.993161263
7,WT,cPRC,10,1.040447651
7,WT,cPRC,11,1.055440103
7,WT,cPRC,12,1.06552214
7,WT,cPRC,13,1.024618415
7,WT,cPRC,14,0.922344902
7,WT,cPRC,15,0.902615426
7,WT,cPRC,16,1.044519299
7,WT,cPRC,17,1.003378644
7,WT,cPRC,18,1.071447262
7,WT,cPRC,19,1.057543093
7,WT,cPRC,20,1.106873428
7,WT,cPRC,21,1.170466998
7,WT,cPRC,22,0.980752626
7,WT,cPRC,23,1.02899875
7,WT,cPRC,24,1.264714997
7,WT,cPRC,25,1.21094959
7,WT,cPRC,26,1.060012732
7,WT,cPRC,27,1.09330315
7,WT,cPRC,28,0.972648065
7,WT,cPRC,29,0.916987542
7,WT,cPRC,30,0.944981929
7,WT,cPRC,31,1.078328594
7,WT,cPRC,32,1.064558416
