Time::Relative Time!!R,Channel1_R2_Area::TV1-SR_R2_Area!!R,Channel1_R2_IntensityMean::TV1-SR_R2_IntensityMean!!R,Channel1_R3_Area::TV1-SR_R3_Area!!R,Channel1_R3_IntensityMean::TV1-SR_R3_IntensityMean!!R,Channel1_R4_Area::TV1-SR_R4_Area!!R,Channel1_R4_IntensityMean::TV1-SR_R4_IntensityMean!!R,Channel1_R5_Area::TV1-SR_R5_Area!!R,Channel1_R5_IntensityMean::TV1-SR_R5_IntensityMean!!R,Channel1_R6_Area::TV1-SR_R6_Area!!R,Channel1_R6_IntensityMean::TV1-SR_R6_IntensityMean!!R,Channel1_R7_Area::TV1-SR_R7_Area!!R,Channel1_R7_IntensityMean::TV1-SR_R7_IntensityMean!!R,Channel1_R8_Area::TV1-SR_R8_Area!!R,Channel1_R8_IntensityMean::TV1-SR_R8_IntensityMean!!R,Channel1_R10_Area::TV1-SR_R10_Area!!R,Channel1_R10_IntensityMean::TV1-SR_R10_IntensityMean!!R,Channel1_R11_Area::TV1-SR_R11_Area!!R,Channel1_R11_IntensityMean::TV1-SR_R11_IntensityMean!!R
1.638271944,37920297.67,487.4623529,14231264.66,1187.916405,36433227.18,157.5359184,26410372.03,751.0686937,53980659.04,964.6961433,20298512.28,430.5582418,47378066.04,714.0665411,12446780.06,232.1612903,26559079.08,196.862262
1.688271667,37920297.67,490.434902,14231264.66,930.1400209,36433227.18,141.6857143,26410372.03,780.3406532,53980659.04,921.5782369,20298512.28,432.2959707,47378066.04,716.9761456,12446780.06,239.4946237,26559079.08,202.4473684
1.738271667,37920297.67,503.2756863,14231264.66,978.5611285,36433227.18,155.1314286,26410372.03,737.4932432,53980659.04,926.4955923,20298512.28,489.5018315,47378066.04,711.3553045,12446780.06,256.0489845,26559079.08,207.9893617
1.788272222,37920297.67,509.8341176,14231264.66,1013.236155,36433227.18,126.8591837,26410372.03,789.0726351,53980659.04,930.4479339,20298512.28,586.570696,47378066.04,675.1032643,12446780.06,247.6845878,26559079.08,213.0324748
1.838271944,37920297.67,419.0615686,14231264.66,1068.079415,36433227.18,162.6302041,26410372.03,683.8693694,53980659.04,915.9190083,20298512.28,495.8080586,47378066.04,687.9582549,12446780.06,270.7037037,26559079.08,204.2581187
1.888271944,37920297.67,467.3921569,14231264.66,1026.178683,36433227.18,148.9163265,26410372.03,737.5613739,53980659.04,949.2225895,20298512.28,480.8930403,47378066.04,670.5012555,12446780.06,259.3560335,26559079.08,194.2597984
1.938271944,37920297.67,453.2380392,14231264.66,1047.030303,36433227.18,173.0959184,26410372.03,1039.840653,53980659.04,956.3151515,20298512.28,379.3311355,47378066.04,688.1506591,12446780.06,190.2066906,26559079.08,183.8796193
1.988271667,37920297.67,439.6294118,14231264.66,1053.724138,36433227.18,168.7273469,26410372.03,857.7454955,53980659.04,976.099449,20298512.28,444.443956,47378066.04,622.0062775,12446780.06,225.0716846,26559079.08,184.3073908
2.038271667,37920297.67,397.907451,14231264.66,1275.296761,36433227.18,245.9126531,26410372.03,949.0793919,53980659.04,987.9625344,20298512.28,367.6578755,47378066.04,496.5408035,12446780.06,164.2795699,26559079.08,141.0828667
2.088276111,37920297.67,366.3333333,14231264.66,1268.567398,36433227.18,222.842449,26410372.03,1020.538851,53980659.04,1032.476309,20298512.28,287.9113553,47378066.04,446.9262398,12446780.06,144.8016726,26559079.08,121.2094065
2.138271944,37920297.67,389.2345098,14231264.66,1337.478579,36433227.18,211.4346939,26410372.03,984.3400901,53980659.04,989.9473829,20298512.28,321.2842491,47378066.04,392.9896422,12446780.06,196.7980884,26559079.08,153.2211646
2.188271944,37920297.67,441.9345098,14231264.66,1050.702194,36433227.18,174.7244898,26410372.03,896.517455,53980659.04,1020.563085,20298512.28,413.6673993,47378066.04,314.2300691,12446780.06,197.7670251,26559079.08,171.6825308
2.238276111,37920297.67,460.2560784,14231264.66,858.9456635,36433227.18,159.8506122,26410372.03,867.6886261,53980659.04,1014.246832,20298512.28,385.392674,47378066.04,354.1836158,12446780.06,215.5029869,26559079.08,175.5531915
2.288272222,37920297.67,458.334902,14231264.66,954.3040752,36433227.18,147.66,26410372.03,789.088964,53980659.04,973.3694215,20298512.28,395.6410256,47378066.04,351.9340866,12446780.06,246.8817204,26559079.08,193.9305711
2.338272222,37920297.67,524.1266667,14231264.66,927.3396029,36433227.18,154.2889796,26410372.03,782.9667793,53980659.04,920.7250689,20298512.28,420.9626374,47378066.04,369.8898305,12446780.06,242.7407407,26559079.08,193.2855543
2.388272222,37920297.67,434.3952941,14231264.66,1249.259143,36433227.18,162.804898,26410372.03,690.3243243,53980659.04,949.7322314,20298512.28,406.8358974,47378066.04,337.8455744,12446780.06,226.4313023,26559079.08,187.487682
2.438272222,37920297.67,428.4878431,14231264.66,1175.45768,36433227.18,177.7432653,26410372.03,756.7972973,53980659.04,992.3041322,20298512.28,394.2813187,47378066.04,444.6698054,12446780.06,206.7323775,26559079.08,168.4316909
2.488271944,37920297.67,427.4552941,14231264.66,1074.089864,36433227.18,148.2571429,26410372.03,718.3412162,53980659.04,1017.128926,20298512.28,381.9663004,47378066.04,416.2338355,12446780.06,228.8160096,26559079.08,185.012318
